created_at,tweet,label
2019-02-27 15:12:27, ان الذكور موشايفين الانثي الا تقضيه جنسيه وعار وانها موشريفه الا الي في بيتها مات ,offensive
2019-02-27 16:25:20, دمرو مدينتنا الحبيبه المسالمه لعنتي علي الحوثي وزبانيته والام الملعونه ربي ارني فيهم يوما اسودا,offensive
2019-02-01 12:16:42, ه ياحليلكم الي يسويه محمد بن سلمان اكبر من عقولكم و صدمه لمرتزقه 😁 الجاي يبي يصدمكم اكثر ويعيشكم بعذاب الانجازات,offensive
2019-02-07 06:35:51,ويش ناويات تصيرن مثل رهف القرون 😂اخره الحريه ذي راح تبيع جسدها الوحده عشان تاكل وتشرب نسويات يمنيات,offensive
2019-03-01 23:04:39, داود الشريان هو ساس البلا لازم يتوقف ويتعاقب بسبه ظهرت النسويات الغير اخلاقيات الاتي يردن انسلاخ من ,offensive
2019-02-27 09:05:55, يا ريت لو تستضيفو شقيق لجين الهذلول ليحدثكم عن التعذيب في سجون السعوديه 😂,offensive
2019-02-04 14:46:27,قل لن ترضا عنك اليهود ولا النصاري حتي تبع ملتهم ها ي هيئه الترفيه وش رايك تقلدوهم حتي ف ذي ,offensive
2019-03-01 23:03:16,الصحوين يكسبون النسويات نتيجه غير متوقعه افا ليه كذا يالمز ,offensive
2019-02-27 14:57:03, شايفها مثل محنه بنات اسقاط الولايه عشان تولع,offensive
2019-02-04 14:14:34, نسيت تحط صوره اهم شريك ابليس هيئه الترفيه ,offensive
2019-02-05 22:38:41,انا بس ابغا اشوف وين ذولاك الزبايل الي قامو عشان رهف القنون هربت وينكم بس قايمين فيها سب وشتيمه ولعن وسخط ولا ف ,offensive
2019-02-17 05:15:32,انت مغرور انت معدوم الشعور انت زي الزينه ديكور والي عاشرك معذور كلمات تركي ال الشيخ,offensive
2019-02-27 16:24:42,مرتزقه العدوان تعمل الان في نقل الاحداث الي حجور وكل مطابخها الاعلاميه تعمل علي نشر الاشاعاد التي تخلو عن كل المصدا ,offensive
2019-02-27 16:24:39, حميناها من الحوثي ومن الشواحيذ,offensive
2019-02-27 00:48:04, لجين الهذلول ضرها علي السعوديات اكثر من نفعها وخربت علي مطالبات ,offensive
2019-02-02 20:13:15,طب قطر اجدع ناس غصب عن رز امك ولع ع الزيت يا جدع ,offensive
2019-02-27 14:49:53, برضو محد فرحمجتمع ذكوري حيوان اسقاط الولايه,offensive
